id,slug,title,status,priority,type,effort,source,reopened_count,rollback_commit,hotfix_for,escaped_defect,created_at,done_at
TCK-0031,instructions-transition-content-b,Instructions — post-transition content B (underB) host-native,done,high,feature,M,closeout-backlog,,,,,2026-08-11T12:00:00-03:00,2026-08-11T14:30:00-03:00
TCK-0032,multimodal-when-capable,Multimodal — image path when model reports image support,done,medium,feature,M,closeout-backlog,,,,,2026-08-11T12:00:00-03:00,2026-08-11T14:30:00-03:00
TCK-0033,mlx-registered-content,MLX — register model weights + content respond dual-run,done,medium,feature,L,closeout-backlog,,,,,2026-08-11T12:00:00-03:00,2026-08-11T14:30:00-03:00
TCK-0034,coreai-registered-content,CoreAI — monorepo registered model + content dual-run,done,medium,feature,L,closeout-backlog,,,,,2026-08-11T12:00:00-03:00,2026-08-11T14:30:00-03:00
TCK-0035,ios-device-fm-smokes-attempt,iOS device — attempt FM smokes (respond / stream+cancel),done,high,feature,L,closeout-backlog,,,,,2026-08-11T12:00:00-03:00,2026-08-11T14:30:00-03:00
TCK-0036,flutter-plugin-live-macos-e2e,Flutter plugin live macOS E2E — public Dart API → channels → Core,done,high,feature,L,closeout-backlog,,,,,2026-08-11T12:00:00-03:00,2026-08-11T14:30:00-03:00
TCK-0038,daemon-unix-socket-e2e,Optional — live Unix-socket daemon E2E,done,low,feature,L,closeout-backlog-adjacent,,,,,2026-08-11T12:00:00-03:00,2026-08-11T20:00:00-03:00
TCK-0039,mcp-agent-client,Optional — MCP agent client wiring,done,low,feature,L,closeout-backlog-adjacent,,,,,2026-08-11T12:00:00-03:00,2026-08-11T20:00:00-03:00
TCK-0040,chat-on-device-integration,Sibling chat-on-device consumer integration,done,medium,feature,L,closeout-backlog-adjacent,,,,,2026-08-11T12:00:00-03:00,2026-08-11T19:00:00-03:00
TCK-0041,pubdev-publish-closeout,Optional — pub.dev publish / remove publish_to none,done,low,feature,M,closeout-backlog-adjacent,,,,,2026-08-11T12:00:00-03:00,2026-08-11T20:00:00-03:00
TCK-0042,ios-sim-consumer-build-unblocked,iOS Simulator — unblock consumer build (upstream Core iOS guards + plugin docs),done,high,bug,M,consumer-chat-on-device-report,,,,,2026-08-11T15:00:00-03:00,2026-08-11T19:00:00-03:00
TCK-0043,closeout-verify-ship-hygiene,Closeout — VER adversarial + ship hygiene (git materialization),done,high,chore,S,post-closeout-backlog,,,,,2026-08-11T16:00:00-03:00,2026-08-11T19:00:00-03:00
TCK-0044,mirror-1-0-3-publish,Publish foundationmodels-swift ≥1.0.3 (duplex + iOS sim guards),done,high,feature,M,post-closeout-backlog,,,,,2026-08-11T16:00:00-03:00,2026-08-11T19:00:00-03:00
TCK-0045,epic-post-closeout-consumer-readiness,Épico: post-closeout consumer readiness (ship + iOS sim + mirror + chat-on-device),done,high,feature,L,post-closeout-backlog,,,,,2026-08-11T16:00:00-03:00,2026-08-11T19:00:00-03:00
TCK-0046,epic-next-wave-dev-ready,Épico: next-wave (Wave A done; Stage 1 → TCK-0054),done,medium,feature,L,next-wave-intake,,,,,2026-08-11T21:00:00-03:00,2026-08-11T23:30:00-03:00
TCK-0047,fnd-0010-path-contract-docs,Docs — FOUNDATIONMODELS_SWIFT_PATH monorepo vs mirror contract (FND-0010),done,high,chore,S,next-wave-intake,,,,,2026-08-11T21:00:00-03:00,2026-08-11T22:00:00-03:00
TCK-0048,chat-on-device-runner-lipo,chat-on-device — fix Runner Flutter.framework lipo / full iOS sim build,done,high,bug,M,next-wave-intake,,,,,2026-08-11T21:00:00-03:00,2026-08-11T22:00:00-03:00
TCK-0049,mlx-content-when-weights,MLX — content dual-run when model weights registered,blocked,low,feature,L,open-backlog-formalization,,,,,2026-08-11T21:00:00-03:00,
TCK-0050,coreai-content-when-registered,CoreAI — content dual-run on monorepo tip when model registered,done,high,feature,L,stage1-backlog-formalization,,,,,2026-08-11T21:00:00-03:00,2026-08-11T23:30:00-03:00
TCK-0051,daemon-live-binary-e2e,Daemon — live foundationmodels-daemon binary Unix-socket E2E,done,high,feature,M,stage1-backlog-formalization,,,,,2026-08-11T21:00:00-03:00,2026-08-11T23:30:00-03:00
TCK-0052,pubdev-prep-and-optional-publish,pub.dev — package prep (and optional human-gated publish),done,medium,feature,M,next-wave-intake,,,,,2026-08-11T21:00:00-03:00,2026-08-11T22:00:00-03:00
TCK-0053,mcp-protocol-package,MCP protocol package over FoundationModels (Stage 1 implement),done,high,feature,L,stage1-backlog-formalization,,,,,2026-08-11T21:00:00-03:00,2026-08-11T23:30:00-03:00
TCK-0054,epic-stage1-daemon-coreai-mcp,Épico Stage 1 — live daemon E2E + CoreAI content + MCP package,done,high,feature,L,stage1-backlog-formalization,,,,,2026-08-11T23:00:00-03:00,2026-08-11T23:30:00-03:00
TCK-0055,mcp-mini-spec,"MCP — mini-spec freeze (role, transport, tool map, security)",done,high,chore,S,stage1-backlog-formalization,,,,,2026-08-11T23:00:00-03:00,2026-08-11T23:30:00-03:00
TCK-0056,epic-mcp-client-sse-uab,Épico — MCP client + SSE transport (package foundationmodels_mcp),done,high,feature,L,stage2-mcp-client,,,,,2026-08-11T20:00:00-03:00,2026-08-11T20:30:00-03:00
TCK-0057,mcp-client-api,MCP client API — FmMcpClient + listToolsAsFmTools,done,high,feature,M,stage2-mcp-client,,,,,2026-08-11T20:00:00-03:00,2026-08-11T20:30:00-03:00
TCK-0058,mcp-sse-transport,MCP SSE transport + loopback + parseSseDataFrames,done,high,feature,M,stage2-mcp-client,,,,,2026-08-11T20:00:00-03:00,2026-08-11T20:30:00-03:00
TCK-0059,mcp-live-uab-dual-run,MCP client — live dual-run against UAB/SSE endpoint (env-gated),blocked,medium,feature,M,open-backlog-formalization,,,,,2026-08-11T24:00:00-03:00,
